RUNTIME - essentialCPs[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
Refactoring_1-3[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];138/;63/;75/;83/;78/;82/;61/;109/;67/;81/;79/;87/;61/;72/;77/;54/;118/;58/;75/;59/;85/;51/;54/;53/;67/;54/;59/;73/;66/;60/;51/;75/;67/;87/;70/;75/;64/;101/;82/;67/;108/;
Refactoring_1-4[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1];128/;52/;76/;76/;59/;85/;78/;92/;78/;65/;94/;71/;73/;68/;65/;72/;75/;77/;68/;81/;75/;69/;68/;81/;102/;75/;63/;85/;94/;61/;61/;93/;90/;91/;100/;96/;85/;101/;103/;88/;107/;
Refactoring_1-5[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1];137/;77/;107/;79/;55/;71/;63/;74/;55/;55/;76/;54/;54/;54/;55/;53/;61/;52/;51/;64/;63/;56/;52/;55/;69/;53/;52/;70/;75/;56/;52/;102/;72/;93/;86/;119/;78/;97/;108/;80/;111/;
Refactoring_1-6[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:4];680/;140/;178/;100/;56/;100/;259/;568/;87/;63/;150/;67/;71/;58/;63/;59/;86/;59/;58/;63/;119/;247/;74/;92/;153/;70/;63/;283/;159/;71/;156/;174/;216/;807/;201/;663/;192/;288/;327/;180/;2205/;
Refactoring_1-8[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];196/;154/;168/;90/;84/;88/;71/;90/;80/;68/;99/;81/;75/;86/;69/;92/;82/;67/;91/;70/;96/;86/;68/;69/;126/;95/;68/;78/;87/;72/;123/;99/;85/;91/;88/;103/;91/;133/;99/;85/;120/;
Specialization_3-2[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0];121/;67/;95/;70/;74/;74/;67/;69/;69/;72/;80/;95/;73/;76/;79/;120/;92/;87/;118/;90/;86/;75/;91/;67/;87/;75/;77/;75/;73/;77/;69/;96/;80/;84/;71/;71/;80/;95/;80/;73/;76/;
Specialization_3-3[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0];126/;96/;105/;70/;83/;116/;69/;67/;69/;66/;67/;67/;68/;64/;66/;70/;79/;67/;67/;64/;63/;75/;65/;67/;65/;65/;62/;74/;65/;73/;67/;66/;68/;92/;71/;79/;73/;79/;79/;108/;77/;
Specialization_3-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];117/;102/;72/;107/;71/;69/;81/;68/;71/;68/;75/;80/;97/;83/;70/;78/;85/;82/;82/;76/;66/;70/;67/;74/;64/;73/;67/;94/;65/;66/;80/;75/;74/;64/;97/;69/;70/;118/;67/;65/;65/;
Specialization_3-6[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2];156/;130/;145/;63/;67/;74/;346/;177/;92/;85/;87/;66/;75/;81/;86/;101/;86/;90/;81/;117/;78/;389/;145/;81/;85/;73/;71/;109/;69/;76/;167/;78/;74/;147/;70/;115/;83/;69/;70/;74/;183/;
Total run times [ms]- normal CPA: 0 essential CPA: 128396 atomic CPA: 0
